iter	Passed	Remaining
612	4925	3109
613	4932	3100
614	4940	3093
615	4948	3084
616	4955	3075
617	4961	3067
618	4969	3058
619	4976	3049
620	4983	3041
621	4989	3032
622	4995	3023
623	5002	3014
624	5009	3005
625	5016	2997
626	5023	2988
627	5031	2980
628	5038	2971
629	5045	2963
630	5051	2953
631	5057	2945
632	5066	2937
633	5073	2928
634	5080	2920
635	5086	2911
636	5093	2902
637	5100	2893
638	5107	2885
639	5114	2876
640	5120	2867
641	5127	2858
642	5133	2850
643	5140	2841
644	5147	2833
645	5154	2824
646	5160	2815
647	5166	2806
648	5172	2797
649	5179	2788
650	5185	2780
651	5194	2772
652	5205	2765
653	5212	2757
654	5219	2749
655	5225	2740
656	5232	2731
657	5238	2722
658	5244	2714
659	5250	2704
660	5257	2696
661	5264	2687
662	5270	2679
663	5277	2670
664	5283	2661
665	5290	2652
666	5296	2644
667	5303	2635
668	5309	2627
669	5316	2618
670	5323	2610
671	5330	2601
672	5336	2593
673	5343	2584
674	5350	2576
675	5356	2567
676	5362	2558
677	5368	2549
678	5376	2541
679	5382	2533
680	5388	2524
681	5395	2515
682	5401	2507
683	5408	2498
684	5414	2489
685	5420	2480
686	5425	2472
687	5432	2463
688	5439	2455
689	5445	2446
690	5451	2437
691	5457	2429
692	5463	2420
693	5470	2412
694	5476	2403
695	5482	2394
696	5489	2386
697	5496	2378
698	5502	2369
699	5509	2361
700	5515	2352
701	5521	2344
702	5527	2335
703	5534	2326
704	5542	2319
705	5548	2310
706	5554	2301
707	5560	2293
708	5565	2284
709	5572	2275
710	5578	2267
711	5586	2259
712	5592	2251
713	5598	2242
714	5606	2234
715	5612	2226
716	5619	2217
717	5625	2209
718	5632	2201
719	5639	2193
720	5646	2184
721	5652	2176
722	5658	2168
723	5665	2159
724	5671	2151
725	5677	2142
726	5684	2134
727	5692	2126
728	5698	2118
729	5704	2109
730	5711	2101
731	5718	2093
732	5725	2085
733	5731	2077
734	5737	2068
735	5743	2060
736	5749	2051
737	5756	2043
738	5762	2035
739	5769	2026
740	5775	2018
741	5782	2010
742	5788	2002
743	5794	1993
744	5800	1985
745	5807	1977
746	5813	1968
747	5819	1960
748	5825	1952
749	5831	1943
750	5838	1935
751	5844	1927
752	5850	1919
753	5857	1910
754	5863	1902
755	5869	1894
756	5876	1886
757	5882	1878
758	5890	1870
759	5898	1862
760	5904	1854
761	5910	1846
762	5917	1837
763	5923	1829
764	5929	1821
765	5936	1813
766	5942	1805
767	5948	1797
768	5955	1788
769	5961	1780
770	5967	1772
771	5974	1764
772	5980	1756
773	5986	1748
774	5992	1739
775	5998	1731
776	6006	1723
777	6014	1716
778	6020	1708
779	6027	1700
780	6034	1692
781	6040	1683
782	6047	1676
783	6054	1668
784	6061	1660
785	6068	1652
786	6075	1644
787	6081	1636
788	6089	1628
789	6097	1620
790	6103	1612
791	6109	1604
792	6116	1596
793	6124	1588
794	6131	1581
795	6139	1573
796	6146	1565
797	6152	1557
798	6159	1549
799	6166	1541
800	6173	1533
801	6179	1525
802	6187	1517
803	6194	1510
804	6202	1502
805	6208	1494
806	6215	1486
807	6221	1478
808	6228	1470
809	6234	1462
810	6240	1454
811	6248	1446
812	6255	1438
813	6262	1430
814	6268	1422
815	6274	1414
816	6280	1406
817	6287	1398
818	6295	1391
819	6303	1383
820	6310	1375
821	6317	1367
822	6338	1363
823	6345	1355
824	6354	1348
825	6363	1340
826	6371	1332
827	6379	1325
828	6387	1317
829	6394	1309
830	6401	1301
831	6407	1293
832	6416	1286
833	6423	1278
834	6429	1270
835	6436	1262
836	6444	1254
837	6450	1247
838	6458	1239
839	6466	1231
840	6475	1224
841	6483	1216
842	6491	1209
843	6502	1201
844	6510	1194
845	6518	1186
846	6528	1179
847	6536	1171
848	6544	1164
849	6551	1156
850	6561	1148
851	6568	1141
852	6577	1133
853	6586	1125
854	6595	1118
855	6602	1110
856	6611	1103
857	6623	1096
858	6632	1088
859	6638	1080
860	6646	1073
861	6653	1065
862	6659	1057
863	6666	1049
864	6673	1041
865	6679	1033
866	6685	1025
867	6690	1017
868	6700	1010
869	6709	1002
870	6715	994
871	6722	986
872	6729	979
873	6739	971
874	6747	963
875	6754	956
876	6763	948
877	6770	940
878	6776	932
879	6784	925
880	6790	917
881	6797	909
882	6805	901
883	6813	894
884	6822	886
885	6828	878
886	6837	871
887	6844	863
888	6852	855
889	6858	847
890	6866	840
891	6877	832
892	6886	825
893	6894	817
894	6900	809
895	6908	801
896	6915	794
897	6922	786
898	6930	778
899	6939	771
900	6947	763
901	6954	755
902	6961	747
903	6969	740
904	6976	732
905	6982	724
906	6989	716
907	6998	709
908	7005	701
909	7012	693
910	7018	685
911	7025	677
912	7033	670
913	7040	662
914	7048	654
915	7057	647
916	7064	639
917	7071	631
918	7078	623
919	7085	616
920	7093	608
921	7100	600
922	7110	593
923	7117	585
924	7127	577
925	7138	570
926	7148	562
927	7155	555
928	7162	547
929	7172	539
930	7180	532
931	7188	524
932	7196	516
933	7205	509
934	7215	501
935	7224	493
936	7234	486
937	7243	478
938	7250	471
939	7257	463
940	7264	455
941	7271	447
942	7278	439
943	7286	432
944	7292	424
945	7298	416
946	7305	408
947	7314	401
948	7321	393
949	7327	385
950	7334	377
951	7343	370
952	7353	362
953	7362	355
954	7370	347
955	7381	339
956	7389	332
957	7396	324
958	7404	316
959	7411	308
960	7419	301
961	7427	293
962	7434	285
963	7442	277
964	7451	270
965	7461	262
966	7468	254
967	7475	247
968	7481	239
969	7489	231
970	7496	223
971	7502	216
972	7508	208
973	7516	200
974	7523	192
975	7529	185
976	7535	177
977	7544	169
978	7550	161
979	7557	154
980	7563	146
981	7570	138
982	7577	131
983	7583	123
984	7590	115
985	7597	107
986	7605	100
987	7611	92
988	7618	84
989	7626	77
990	7632	69
991	7639	61
992	7646	53
993	7652	46
994	7659	38
995	7665	30
996	7671	23
997	7677	15
998	7684	7
999	7691	0
